user_id,name,email,country,city,platform,signup_date,subscription_type,age,gender
usr_000001,Zainab,zainab_3964@hotmail.com,QA,Buraidah,web,03-09-2019,premium,27,f
usr_000002,ياسر,ياسر_7703@gmail.com,US,Khobar,web,2024-09-10,free,20,male
usr_000003,عمر,عمر_8946@yahoo.com,FR,Abha,smart_speaker,23/09/2022,premium,20,f
usr_000004,Khalid,khalid_5081@icloud.com,EG,,car_play,2021-03-28,trial,64,f
usr_000005,عمر,عمر_7160@outlook.sa,UK,Tabuk,web,2022-09-21T00:00:00,premium,47,male
usr_000006,خالد,خالد_1681@gmail.com,OM,Medina,smart_speaker,2021-01-09T00:00:00,trial,44,male
usr_000007,ياسر,ياسر_5953@icloud.com,DE,,android,23/08/2019,free,54,f
usr_000008,زينب,زينب_531@icloud.com,KW,Khobar,web,09/02/2023,trial,52,F
usr_000009,نورة,نورة_8177@icloud.com,EG,,ios,2020-04-09,premium_annual,61,female
usr_000010,فهد,فهد_1214@outlook.sa,KW,,smart_speaker,2024-07-04,free,36,f
usr_000011,Noura,noura_5923@icloud.com,BH,Mecca,android,13/05/2022,premium,17,male
usr_000012,ياسر,ياسر_7843@icloud.com,EG,,car_play,2019-12-20,free,36,f
usr_000013,Mariam,mariam_9631@hotmail.com,DE,,smart_speaker,2020-06-09,free,49,F
usr_000014,عائشة,عائشة_4654@gmail.com,QA,Taif,web,2021-07-12,premium,55,m
usr_000015,حسن,حسن_9915@yahoo.com,FR,,ios,23/09/2020,free,,f
usr_000016,مريم,مريم_4746@yahoo.com,JO,Tabuk,web,2019-05-05,trial,,M
usr_000017,Khalid,khalid_5232@yahoo.com,EG,Khobar,car_play,2022-10-25,free,45,M
usr_000018,Hassan,hassan_6851@hotmail.com,FR,,web,03/04/2022,premium_annual,26,female
usr_000019,Aisha,aisha_7492@hotmail.com,BH,Riyadh,ios,2020-01-04T00:00:00,premium_annual,57,f
usr_000020,Omar,omar_742@outlook.sa,SA,Mecca,web,2023-02-07T00:00:00,premium_annual,,m
usr_000021,Yasser,,LB,,android,2020-06-11,premium,41,m
usr_000022,فهد,فهد_9933@icloud.com,KW,Buraidah,web,2024-04-24T00:00:00,premium,55,f
usr_000023,محمد,محمد_6036@yahoo.com,US,Tabuk,car_play,12/05/2022,premium_annual,62,
usr_000024,Zainab,zainab_7872@hotmail.com,LB,Buraidah,smart_speaker,07-21-2021,premium,31,M
usr_000025,Tariq,tariq_8222@icloud.com,JO,,ios,19/08/2023,premium,51,male
usr_000026,Khalid,khalid_8951@yahoo.com,US,,web,26/02/2024,trial,31,male
usr_000027,Fatima,fatima_5195@outlook.sa,OM,Medina,web,29/03/2022,free,50,female
usr_000028,هند,هند_1295@yahoo.com,JO,Abha,android,22/08/2020,premium,33,m
usr_000029,عائشة,عائشة_3698@hotmail.com,SA,Khobar,smart_speaker,09-20-2021,free,24,M
usr_000030,سارة,سارة_4707@yahoo.com,QA,Jeddah,car_play,05-02-2024,premium,62,
usr_000031,Yasser,yasser_8117@hotmail.com,UK,,web,05-29-2019,free,,m
usr_000032,Fahad,fahad_8262@outlook.sa,QA,Jeddah,web,16/07/2024,premium,57,male
usr_000033,ياسر,ياسر_7008@icloud.com,OM,Jeddah,android,2021-03-02,premium,31,M
usr_000034,زينب,زينب_188@yahoo.com,US,Mecca,ios,2022-09-12T00:00:00,free,26,female
usr_000035,ريم,ريم_3591@hotmail.com,JO,Buraidah,web,04-23-2022,trial,46,
usr_000036,عائشة,عائشة_5928@gmail.com,MA,Taif,car_play,2019-12-02,premium,25,F
usr_000037,Fatima,fatima_1490@icloud.com,JO,,smart_speaker,2021-04-21,premium,45,m
usr_000038,محمد,محمد_3571@icloud.com,AE,Khobar,ios,2019-03-31,free,20,female
usr_000039,Omar,omar_742@outlook.sa,SA,Mecca,web,2023-10-03,premium_annual,,m
usr_000040,ريم,ريم_4056@outlook.sa,OM,Mecca,ios,10-04-2023,free,42,m
usr_000041,أحمد,أحمد_4010@gmail.com,EG,Taif,android,05-18-2019,free,34,F
usr_000042,فهد,فهد_8541@hotmail.com,EG,Riyadh,car_play,2022-08-06T00:00:00,premium,43,m
usr_000043,Tariq,tariq_2445@yahoo.com,EG,Taif,smart_speaker,2022-07-29T00:00:00,premium,35,
usr_000044,لمياء,لمياء_3332@yahoo.com,US,Abha,web,2020-07-03,free,28,M
usr_000045,زينب,زينب_9157@hotmail.com,JO,Khobar,web,2019-10-26,free,28,f
usr_000046,Sarah,sarah_6499@hotmail.com,LB,Medina,smart_speaker,2021-09-20,trial,38,male
usr_000047,Fatima,fatima_5247@hotmail.com,OM,Riyadh,car_play,2020-02-08T00:00:00,premium,17,male
usr_000048,ريم,ريم_8181@icloud.com,US,,web,31/07/2021,premium_annual,47,f
usr_000049,مريم,مريم_8001@hotmail.com,LB,,ios,11-24-2020,free,20,
usr_000050,عائشة,عائشة_7472@yahoo.com,SA,Buraidah,smart_speaker,10/09/2020,trial,,m
usr_000051,طارق,طارق_2938@gmail.com,AE,Mecca,android,2022-03-20,premium_annual,33,
usr_000052,Reem,reem_4915@gmail.com,US,,ios,2021-09-23T00:00:00,free,40,m
